Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C14, C2, C23, C24, C26, C3, C30, C35, C4, C53, C6, C62, C63",0603,16,220n,C21120
"C10, C18, C19, C20, C21, C7, C8, C9",0603,8,470p,C1620
"C11, C22, C54, C55, C56, C57, C58, C59, C60, C61",1206,10,22u,C12891
"C15, C28",0805,2,1u,C28323
"C16, C29",0603,2,22n,C21122
"C17, C34, C5, C51, C52",0805,5,2.2u,C377773
"C27, C64",0603,2,10u,C96446
"C31, C36",0805,2,22u,C45783
"C32, C37",0603,2,100n,C14663
"C33, C38",0603,2,47p,C1671
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D4, D5, D6, D7, D8, D9",XL_WS2812B_0807,31,WS2812B,C3646929
"IC1, IC2",TMC5240,2,TMC5240,C7494373
"IC3, IC4",SOTFL50P160X60-6N,2,TPS561243DRLR,C42040978
"L1, L2",1008,2,3.3u,C5832373
"R1, R4",0603,2,100,C22775
"R10, R16",0603,2,13k,C22797
"R11, R7",0603,2,3k,C4211
"R12, R2, R3, R6, R9",0603,5,5.6k,C23189
"R13, R17",0603,2,100k,C25803
"R15, R19",0603,2,30k,C22984
R18,0603,1,220k,C22961
"R20, R21",0603,2,5.1k,C23186
R22,0603,1,1k,C21190
R5,0603,1,12k,C22790
R8,0603,1,10k,C25804
