Designator,Mid X,Mid Y,Rotation,Layer
C1,119.55,-71.6,90.0,top
C10,129.74,-111.37,180.0,top
C11,122.5,-105.0,180.0,top
C12,134.86,-106.88,180.0,top
C13,131.09,-108.73,90.0,top
C14,129.6,-98.9,0.0,top
C15,127.09,-106.64,0.0,top
C16,127.21,-103.55,270.0,top
C17,132.2,-97.9,90.0,top
C18,152.67,-111.24,180.0,top
C19,143.225,-111.325,180.0,top
C2,141.0,-85.05,90.0,top
C20,149.47,-111.26,180.0,top
C21,146.4,-111.35,180.0,top
C22,140.999999,-100.850001,0.0,top
C23,152.07,-106.35,180.0,top
C24,147.95,-108.8,90.0,top
C26,146.599999,-98.750001,0.0,top
C27,114.0,-92.938,180.0,top
C28,144.03,-106.6,0.0,top
C29,144.2,-103.4,270.0,top
C3,118.725,-74.125,0.0,top
C30,105.2,-88.0,0.0,top
C31,110.0,-87.45,90.0,top
C32,109.35,-84.85,180.0,top
C33,105.3,-86.45,180.0,top
C34,149.899999,-98.450001,0.0,top
C35,113.6,-88.25,0.0,top
C36,118.3,-87.55,90.0,top
C37,117.475,-85.0,180.0,top
C38,113.575,-86.65,180.0,top
C39,174.8,-107.95,0.0,bottom
C4,181.0,-87.7,270.0,top
C40,182.0,-101.6,180.0,bottom
C41,176.4,-101.0,180.0,bottom
C42,186.4,-107.25,90.0,bottom
C48,170.2,-103.9,0.0,bottom
C5,179.4125,-90.75,180.0,top
C51,109.425,-69.6,90.0,top
C52,115.35,-69.1,90.0,top
C53,119.55,-68.5,270.0,top
C54,122.55,-102.5,180.0,top
C55,140.999999,-103.350001,0.0,top
C56,122.5,-107.5,180.0,top
C57,140.999999,-98.350001,0.0,top
C58,122.5,-110.000002,180.0,top
C59,139.5,-105.850001,180.0,top
C6,175.9625,-90.5,180.0,top
C60,122.5,-112.500002,180.0,top
C61,139.5,-108.350001,180.0,top
C62,126.91,-108.57,0.0,top
C63,143.98,-109.32,0.0,top
C64,106.0,-92.8,180.0,top
C7,135.93,-111.37,180.0,top
C8,126.65,-111.37,180.0,top
C9,132.83,-111.38,180.0,top
D1,163.5,-110.5,0.0,top
D10,176.5,-97.5,270.0,top
D11,178.757426,-97.6975,260.0,top
D12,180.946261,-98.283996,250.0,top
D13,183.0,-99.24167,240.0,top
D14,184.856238,-100.541423,230.0,top
D15,186.458577,-102.143762,220.0,top
D16,187.75833,-104.0,210.0,top
D17,188.716004,-106.053739,200.0,top
D18,189.3025,-108.242574,190.0,top
D19,189.5,-110.5,180.0,top
D2,163.697499,-108.242574,350.0,top
D20,181.5,-110.5,90.0,top
D21,179.0,-110.5,90.0,top
D22,176.5,-110.5,90.0,top
D23,174.0,-110.5,90.0,top
D24,171.5,-110.5,90.0,top
D25,168.5,-105.5,270.0,top
D26,170.5,-105.5,270.0,top
D27,172.5,-105.5,270.0,top
D28,176.5,-103.0,270.0,top
D29,180.5,-105.5,270.0,top
D3,164.283995,-106.053739,340.0,top
D30,182.5,-105.5,270.0,top
D31,184.5,-105.5,270.0,top
D4,165.241669,-104.0,330.0,top
D5,166.541422,-102.143762,320.0,top
D6,168.143761,-100.541423,310.0,top
D7,170.0,-99.24167,300.0,top
D8,172.053738,-98.283996,290.0,top
D9,174.242573,-97.6975,280.0,top
IC1,131.099999,-102.650001,180.0,top
IC2,148.0,-102.5,180.0,top
IC3,107.9,-87.45,90.0,top
IC4,116.2,-87.4,90.0,top
L1,109.15,-90.6,180.0,top
L2,117.4,-90.825,180.0,top
MT1,177.9875,-87.825,0.0,top
R1,117.95,-71.6,90.0,top
R10,134.0,-98.1,90.0,top
R11,150.7,-75.4,180.0,top
R12,144.2,-99.950001,270.0,top
R13,106.2,-84.85,180.0,top
R15,105.95,-90.35,90.0,top
R16,152.499999,-100.350001,0.0,top
R17,114.325,-85.05,180.0,top
R18,113.85,-90.575,270.0,top
R19,112.3,-90.575,90.0,top
R2,117.95,-68.5,270.0,top
R20,110.85,-75.825,270.0,top
R21,110.875,-81.25,90.0,top
R22,150.7,-78.2,180.0,top
R3,142.6,-85.05,90.0,top
R4,144.15,-85.05,90.0,top
R5,115.625,-75.825,180.0,top
R6,118.725,-75.825,0.0,top
R7,115.625,-74.125,0.0,top
R8,150.7,-72.6,180.0,top
R9,127.25,-100.51,270.0,top
U1,130.4,-73.01,0.0,top
